VILLE_3;CHAT;CHIEN;VILLE;VILLE_2;COORDONNEES;LON;LAT;CODE POSTAL;CODE INSEE
FONTENAY-EN-PARISIS;164;204;Fontenay-en-Parisis;fontenay en parisis;[2.445393719277551, 49.05011966308222];2.445393719;49.05011966;95190;95241
FONTENAY-LE-COMTE;991;1519;Fontenay-le-Comte;fontenay le comte;[-0.793449510859038, 46.456318611683315];-0.793449511;46.45631861;85200;85092
FONTENAY-LE-FLEURY;50;3;Fontenay-le-Fleury;fonenay le fleury;[2.046623354128094, 48.81779849884517];2.046623354;48.8177985;78330;78242
FONTENAY-LE-MARMION;9;0;Fontenay-le-Marmion;fontenay le marmion;[-0.344967038910002, 49.087017858620065];-0.344967039;49.08701786;14320;14277
FONTENAY-LE-PESNEL;126;486;Fontenay-le-Pesnel;fontenay le pesnel;[-0.580438390492496, 49.173604075417124];-0.58043839;49.17360408;14250;14278
FONTENAY-LE-VICOMTE;0;1;Fontenay-le-Vicomte;fontenay le vicomte;[2.400680410512903, 48.54683861324552];2.400680411;48.54683861;91540;91244
FONTENAY-LES-BRIIS;2;282;Fontenay-lès-Briis;fontenay  les briis;[2.164609558050989, 48.61076317786563];2.164609558;48.61076318;91640;91243
FONTENAY-MAUVOISIN;0;1;Fontenay-Mauvoisin;fontenay les mauvoisin;[1.6477777851698652, 48.961092448181226];1.647777785;48.96109245;78200;78245
FONTENAY-PRES-CHABLIS;0;20;Fontenay-près-Chablis;fontenay pres chablis;[3.814636035771553, 47.84315501593032];3.814636036;47.84315502;89800;89175
FONTENAY-SAINT-PERE;1;0;Fontenay-Saint-Père;fontenay st pere;[1.754484717035651, 49.02799199109984];1.754484717;49.02799199;78440;78246
FONTENAY-SOUS-BOIS;17;4;Fontenay-sous-Bois;fontenay sous bois;[2.473954097743391, 48.85110463818291];2.473954098;48.85110464;94120;94033
FONTENAY-SUR-CONIE;0;1;Fontenay-sur-Conie;fontenay sur conte;[1.6823988852162999, 48.165655277645676];1.682398885;48.16565528;28140;28157
FONTENAY-SUR-EURE;0;1;Fontenay-sur-Eure;fontenay sur eures;[1.422412494865187, 48.405985353493264];1.422412495;48.40598535;28630;28158
FONTENAY-SUR-LOING;0;106;Fontenay-sur-Loing;fontenay sur loing;[2.768857591730676, 48.08326648471617];2.768857592;48.08326648;45210;45148
FONTENAY-SUR-VEGRE;21;74;Fontenay-sur-Vègre;fontenay sur vegre;[-0.21483099728169402, 47.90743698314699];-0.214830997;47.90743698;72350;72136
FONTENAY-TRESIGNY;39;12;Fontenay-Trésigny;fontenay  tresigny;[2.862313637117984, 48.697973344017534];2.862313637;48.69797334;77610;77192
FONTENELLE;20;0;Fontenelle;fontenelle;[5.361763069385035, 47.502916037990225];5.361763069;47.50291604;21610;21281
FONTENELLE-EN-BRIE;1;0;;fontenelle en brie;[3.49208185287336, 48.92090996142494];3.492081853;48.92090996;2540;2325
FONTENERMONT;7;33;;fontenermont;[-1.100187012665278, 48.82115075111796];-1.100187013;48.82115075;14380;14279
FONTENILLE;0;92;Fontenille;fontenille;[0.174854978046413, 45.912901103689684];0.174854978;45.9129011;16230;16141
FONTENILLE-SAINT-MARTIN-D'ENTRAIGUES;0;21;Fontenille-Saint-Martin-d'Entraigues;fontenille st martin d entraigues;[-0.132411224833118, 46.112120170109186];-0.132411225;46.11212017;79110;79122
FONTENOTTE;0;35;Fontenotte;fontenotte;[6.313618715120533, 47.37570475575702];6.313618715;47.37570476;25110;25249
FONTENOUILLES;1;1;;fontenouille;[3.032649875442177, 47.88285168873777];3.032649875;47.88285169;89120;89178
